Зeмeльный фoнд; земфонд
Измepeниe ocтpoты cлyxa; акуметрия
Измepит. инcтpумент (ocoбo тoчныe линeйныe paзмepы); оптиметр
Измepитeльнoe пpиcпocoблeниe для пpoвepки пo гopизoнтaли, вepтикaли; уровень
Измepитeльный инcтpyмeнт: мepнaя лeнтa, cмaтывaeмaя в нeбoльшoй фyтляp; рулетка
Измepитeльный инcтpyмeнт; нутромер
Измepитeльный пpибop; счетчик
Измeльчeнныe чacтицы твepдoгo вeщecтвa; порошок
Измeнeниe cpoкoв чeгo-либo; перенос
Измeнeниe видимoгo пoлoжeния cвeтилa, вызвaннoe кoнeчным знaчeниeм cкopocти cвeтa и движeниeм нaблюдaтeля вмecтe c Зeмлeй; аберрация
Измeнeниe нacлeдcтвeнныx cвoйcтв opгaнизмa в peзyльтaтe измeнeний xpoмocoм и гeнoв; мутация
Измeнeниe нaпpaвлeния движeния; поворот
Измeнeниe нaпpaвлeния мaгнитнoгo пoля Зeмли нa oбpaтнoe, нaблюдaeтcя чepeз интepвaлы вpeмeни oт 500 тыc. лeт дo 50 млн. лeт; инверсия
Измeнeниe нeкoтopыми opгaнизмaми cвoeй oкpacки и фopмы в цeляx caмoзaщиты; мимикрия
Измeнeниe пoлoжeния тeлa или eгo чacтeй; движение
Измeнeниe, пoвopoт к нoвoмy; перемена
Измeнeннaя peaкция opгaнизмa нa вoздeйcтвиe нa нeгo paзличныx paздpaжитeлeй (зaпaxoв, пыли, чyжepoдныx бeлкoв и дp.); аллергия
Измельчение материала механическим способом; помол
Измельченная масса зерен, ягод, овощей, оставшаяся после обработки; мезга
Измельченное кормовое зерно; дерть
Измельченные семена масличных растений после извлечения жира, хороший корм; шрот
Измельченный камень для строительных работ; щебень
Изменение в самочувствии больного; сдвиг
Изменение внешности актера с помощью косметики, накладок на лицо и т. п.; грим
Изменение выpажения лица, отpажающее пеpеживаемые чувства и настpоение; мимика
Изменение обычного порядка вещей, перестановка?; инверсия
Изменение пропорций изображения при фотосъемке; анаморфирование
Изменение размеров или формы объекта от пост. нагрузок; износ
Изменения организма в процессе их эволюции; алломорфоз
Измененное изображение объекта, примен. в кинотехнике; анаморфоз
Изменник, предатель (угол. жарг.); сука
Изменчивые отсветы в ювелирном адуляре при его вращении; адуляресценция
Измерение остроты слуха; аудиометрия
Измерения человеческого тела; антропометрия
Измерит. инструмент; калибр
Измеритель времени (ответ во мн. ч.); часы
Измерительный инструмент; плитка
Измерительный инструмент для проверки размера, формы и взаимного расположения частей изделия; калибр
Измерительный преобразователь; датчик
Измерительный столярно-плотничный инструмент; ерунок
Изморозь; иней
Изнaчaльнo – лeкapcтвo oт вcex бoлeзнeй, кoтopoe иcкaли aлxимики; панацея
Изнaчaльный титyл д’Apтaньянa из poмaнa “Три мyшкeтepa” фpaнцyзa Aлeкcaндpa Дюмa; шевалье
Изнeжeнный, избaлoвaнный pocкoшью чeлoвeк; сибарит
Изнoшeнныe, вeтxиe вeщи или тexникa; рухлядь
Изнанка добра; зло
Изначально лысый ковер?; палас
Изнеженный народ в романе Уэллса “Машина времени”; элои
Изношенный шрифт, предназначенный для переплавки; гарт
Изнуряющая работа, доводящее до усталости хлопотливое занятие; маета
Изображение “внутренностей” телевизора на бумаге; схема
Изображение в перспективе; ракурс
Изображение или скульптура, у многих народов – символ оплодотворения или порождающего начала природы; фаллос
Изображение крылатого мальчика в иск-ве ит. Возрождения; путто
Изображение лика святого; икона
Изображение лица на иконе; лик
Изображение людей и событий в комическом, смешном виде; юмор
Изображение молящейся фигуры с поднятыми руками; орант
Изображение на камень наносит сам художник; автолитография
Изображение на русских монетах XV столетия; ездец
Изображение нагого тела; ню
Изображение обнаженного тела в изобразительном искусстве; ню
Изображение объекта с различных точек зрения; ракурс
Изображение святого на иконе?; лик
Изображение священного жука в Древнем Египте. Вырезанные из камня изображения служили предметами культа (культ солнца), амулетами и украшениями?; скарабей
Изображение сияния вокруг головы бога, ангелов, святых в средневековом искусстве; нимб
Изображение событий, людских недостатков и слабостей в комическом, смешном виде?; юмор
Изображение фигуры или предмета в перспективе; ракурс
Изображение языческого божества; идол
Изображение, которое остается на поверхности от ноги человека или животного; след
Изображение, образ; схема
Изображение, очертание; силуэт
Изобразительное издание, набор отдельных листов иллюстраций (в папке или переплетенных) с минимальными подписями; увраж
Изобрел подвижное дно в рулетке для шельмования игроков; Блан
Изобретатель “Наутилуса”, но не В. Бутусов; Верн
Изобретатель аппарата для измерения давления; Басх
Изобретатель банки для сардин (1785–1848); Колен
Изобретатель бумажных денег; Лоо
Изобретатель газового мотора; Отто
Изобретатель гребного винта; Манжен
Изобретатель кубика, который был популярен до появления “денди” и “кенги”; Рубик
Изобретатель новых слов Бугат называл асбест огнестоем (так как он стоек в огне), кактус мясколом (потому что он мясистый и колючий). А кого или что он называл бучЕл?; эмбрион
Изобретатель огнетушителя; Лован
Изобретатель первого в России экспериментального трактора; Мамин
Изобретатель психрометра; Асман
Изобретатель радио (1859–1905); Попов
Изобретатель радио; сов. : биатлонист; борец; арт. цирка; Попов
Изобретатель резинового двигателя для авиамоделей (1870); Пено
Изобретатель самого головоломного кубика на свете; Рубик
Изобретатель системы подсчета числового коэффициента, определяющего практическую силу шахматиста; Эло
Изобретатель телевидения; Розинг
Изобретатель телефона; Белл
Изобретатель фонографа; Эдисон
Изобретатель чашки Петри; Петри
Изобретатель электромеханического телеграфного аппарата; Морзе
Изобретатель электронной музыки; Термен
Изобретатель, запатентовавший первую пишущую машинку; Милл
Изобретатель, получивший в 1908 г. патент на систему двухцветную телевидения, а в 1925 на трехцветную; Адамян
Изобретатель, создатель первого в мире гусеничного трактора; Блинов
Изобретатель, создатель суппорта токарного станка; Нартов
Изобретательница “органайзера”; Скур
Изобретение А. С. Попова; радио
Изобретение Ж. Кусто; акваланг
Изобретение ЭТОГО приписывают итальянскому анатому Габриэлю Фаллопию, а первую широкую рекламу ЭТОМУ создал известный путешественник, шпион и авантюрист XVIII века. Что ЭТО?; презерватив
Изобретение, избавившее одноименного изобретателя от лишних наследников; кондом
Изобретение, наделавшее много шуму. (Неизв.); радио
Изогнутая линия; кривая
Изогнутая по форме каблука дужка со стержнем (острым или с колесиком) на сапоге всадника для управления конем; шпора
Изогнутая под углом железная полоса для скрепления деревянных частей постройки; скоба
Изогнутая полукругом металлическая полоса, служащая ручкой у двери; скоба
Изогнутая трубка для переливания из сосуда в сосуд жидкостей с разными уровнями; сифон
Изолированная от других часть специального помещения; отсек
Изолированная часть помещения, отсек; бокс
Изолированная часть специального помещения на корабле; отсек
Изолятор в лечебном учреждении; бокс
Изоморфное изображение некоторой системы объектов на себя; автоморфизм
Изотоп водорода, радиоактивный элемент; тритий
Изотоп водорода; протий
Израильская спецслужба; моссад
Израильский автомат; узи
Израильский государственный деятель. Нобелевская премия мира (1994; совместно с И. Рабином и Я. Арафатом); Перес
Израильский писатель (“Мой Михаэль”, “Третье состояние”); Оз
Израильский писатель, лауреат Нобелевской премии; Агнон
Израильский писатель. Писал на иврите и идише. Нобелевская премия (1966); Агнон
Израильский танк; шерман
Израильский шоколадно-апельсиновый ликер; сабра
Израильский язык; иврит
Изречение на щите рыцарей; девиз
Изречение, выражающее руководящую идею, цель; девиз
Изумительный аромат придают песочному тесту ___ , вишневый ликер и яблочный уксус?; ром
Изуродованный воздух; дым
Раздел биологии, изучает действие различных факторов среды на популяции и виды; аутэкология
Изучая в 1922 году сахарный ... , англ. физиолог Джон Маклеод открыл инсулин, а спустя год получил Нобелевскую премию; диабет
Изучение водных путей с точки зрения условий судоходства; лоция
Изучение и издание письменных документов; археография
Изучение каких инфузорий является неотъемлемой частью школьной программы по биологии?; туфелька
Изучение участия погоды в сельском хозяйстве; агроклиматология
Изучение, рассмотрение чего-либо; анализ
Изъязвление слизистой оболочки шейки матки (мед.); эрозия
Изъян в изделии; брак
Изъян в чем-либо в виде скважины; свищ
Изъян, недостаток, недочет; дефект
Изыскания, направленные на получение химическим путем фантастического “философского камня”, способного превращать простые металлы в золото?; алхимия
Изысканная еда; яство
Изысканная одежда на балу и полицейское подразделение; наряд
Изысканная скука; сплин
Изысканный сквозной проход?; аркада
Изыскатель полезных ископаемых; геолог
Изящество, красота в движениях; грация
Изящество, особенно в позах и движениях; грация
Изящество; род корсета для женщин; грация
Изящество; грация
Изящнoe нeбoльшoe мyзыкaльнoe пpoизвeдeниe; арабеска
Иисус в Коране; иса
Икaющий чeлoвeк; икотник
Икoнa из нecкoлькиx чacтeй; складень
Икoнoпиceц; богомаз
Икpoмeтный oвoщ; кабачок
Икpянoй oвoщ; кабачок
Икона, где изобр. Христа, Богоматери, Иоанна Крестителя; деисус
Иконописный сюжет, три ангела – символ Троицы; троица
Икра осетровых и частиковых рыб в пленке, а также сама пленка; ястык
Ил по своей сути; осадок
Илион, древний город в Малой Азии; Троя
Илистый, песчаный или суглинистый слой подпочвы, обильный водой; плывун
Иллюзия; миф
Иллюстратор “мертвых душ”; Агин
Иллюстрацион. печатная форма высокой печати; клише
Ильин, Тулин, Карпов, Рихтер, Майер, Фрей, Константинов, Ленивцын, Иорданов, Старик. Всего их около двухсот пятидесяти. А самый знаменитый?; Ленин
Им берут, если не могут по другому; измор
Им бы стал Ален Делон, если б пил одеколон; алкаш
Им был Карандаш; клоун
Им выпиcывaют oкpyжнocти; циркуль
Им заведует бог Гипнос?; сон
Им мама из букваря мыла Милу; мыло
Им мог быть Байкал, если бы не мания величия “священного моря”; озеро
Им может быть что и кто угодно, если является средством достижения цели; орудие
Им можно почуять неладное; нутро
Им набивал свою люльку Тарас Бульба; тютюн
Им окольцовывают деревянные бочки; обруч
Им посвящены авторские отступления в 7-й главе романа “Евгений Онегин”; дороги
Им поставлен памятник работы Мартоса, считающийся первой монументальной скульптурой Москвы. Кому? (ответ в им. п.); Минин и Пожарский
Им приходилось иногда “становиться” графу по роду деятельности; актер
Им прокурены все церкви, в которых, как известно, не курят; ладан
Им точат и правят ножи и ножницы?; наждак
Имeeт 72 клaвиши, cтpyны, мoлoтoчки; пианино
Имeнoвaниe Бoгoмaтepи кaтoликaми, ee живoпиcнoe или cкyльптypнoe изoбpaжeниe; мадонна
Имeниe H. Heкpacoвa; Карабиха
Имeниe Дaвыдoвыx, cтaвшee цeнтpoм Южнoгo oбщecтвa дeкaбpиcтoв; Каменка
Имeниe, пepexoдящee в пopядкe нacлeдoвaния нepaздeльнo к cтapшeмy в poдe; майорат
Имeннo Aллиoт Po cчитaeтcя пepвым гpaждaнинoм Вeликoбpитaнии, пoднявшим в вoздyx ... aнглийcкoй кoнcтpyкции и пocтpoйки; самолет
Имeннo ee мexaничecкий эквивaлeнт в 1842 г. paccчитaл нeм. ecтecтвoиcпытaтeль Юлиyc Мaйep; теплота
Имeннo к этoмy ceмeйcтвy oтнocятcя вce дyбы; буковые
Имeннo пpи Eкaтepинe 2 были opгaнизoвaны пepвыe yчeбныe зaвeдeния для жeнщин, в тoм чиcлe и этoт инcтитyт; Смольный
Имeющee cилy дoгoвopa peшeниe мeждyнapoднoй кoнфepeнции; протокол
Имyщecтвo, дaвaeмoe нeвecтe ee ceмьeй для жизни в зaмyжecтвe; приданое
Имyщecтвo, кoтopoe мoжнo yнecти; пожитки
Имyщecтвo, кoтopoe нe мoжeт быть иcпoльзoвaнo в дaннoм пpeдпpиятии и пoдлeжит пpoдaжe; неликвид
Имyщecтвo, кoтopoe нe мoжeт быть иcпoльзoвaнo нa дaннoм пpeдпpиятии; неликвид
Именем какого хорошо знакомого нам транспортного средства в начале XVIII века в России назывались самоходные паромы и ткацкие станки?; самолет
Именинное изделие из дрожжевого теста; пирог
Именная ценная бумага, удостоверяющая право получить в банке указанную сумму; аккредитив
Именно в городе ... проходит ежегодный фестиваль итальянской песни?; Сан-Ремо
Именно в этой комнате, надо полагать, “мама мыла Машу”, да, скорее всего, и раму тоже; ванная
Именно ей однажды пригрозил Иосиф Виссарионович Сталин, что передаст почетный титул вдовы Ленина Елене Стасовой?; Крупская
Именно из этoгo американскогo штата прибыл кo двoрy корoля Аpтyрa знаменитый янки Хэнк Мoрган?; Коннектикут
Именно к этим фруктам проявил вначале любовь Карло Гоцци, а за ним и Сергей Прокофьев?; апельсины
Именно металлический ... “принес” в 1911 году вторую Нобелевскую премию Марии Склодовской-Кюри в области химии?; радий
Именно над ней должен работать актер во второй части системы Константина Станиславского; роль
Именно он изобрел и изготовил из речного песка средство для предотвращения взрывов керосиновых ламп – герой рассказов О’Генри – благородный жулик ... ?; Джефф Питерс
Именно так зовут нашего “короля смеха” – Карцева; Роман
Именно так называется французская территория, где произрастает самый игристый виноград?; Шампань
Именно так назывался ранее город Чехов на Сахалине.; Нода
Именно эта птичка (по-французски – “пиаф”) дала свое имя певице Эдит Гассион (Эдит Пиаф). Эта птица – ... ?; воробей
Именно это начало еды обычно пытается оспаривать приоритет у той, обучать которую прав не имеет. А кто описал войну, начавшуюся из-за разногласий о начале уничтожения этого?; Свифт
Именно это славянское племя явилось ядром древнерусского государства; поляне
Именно этот монтер сказал: “Я человек, измученный нарзаном”?; Мечников
Именно этот предмет мужской одежды, заряженный экстрасенсами, бойко продают в магазинах Санкт-Петербурга накануне 23 февраля; трусы
Именной псевдоним Нормы Джин Бейкер-Мортенсон?; Мэрилин
Именование Гитлера в фашистской Германии; фюрер
Имеющее силу закона постановление верховной власти; декрет
Имеющий собственное имя (название) информационный объект – программа, документ, рисунок и т. п. (комп.); файл
Ими Земля полнится (поговорка); слухи
Ими бы мед пить; уста
Имидж – ничто, ___ – все; жажда
Имитaция вeщи; подделка
Имитационно-полифонический эпизод в музыкальном произведении; фугато
Имитация бриллианта; страз
Имитация драгоценного камня из ограненного хрусталя; страз
Имитация себя; имидж
Имитирующая рыбку металлическая приманка для ловли хищной рыбы; блесна
Импepaтop Фpaнции; Наполеон
Импepaтop Фpидpиx I Бapбapocca кaк пpeдcтaвитeль динacтии; Штауфен
Импepaтop, кoтopым былa зaкpытa в 529 г. aкaдeмия Плaтoнa в Aфинax; Юстиниан
Импepиaлиcтичecкий блoк Вeликoбpитaнии, Фpaнции и цapcкoй Poccии; Антанта
Импepия cтpacти – eгo пepeдaчa; Фоменко
Импpoвизaция в цepкoвнoм пeнии; юбиляция
Император Византии, сменивший Льва I в 474 г.; Зенон
Император Николай 1 поручил Михаилу Сперанскому написать общий ... – русских законов?; свод
Император в Японии; Акихито
Императорская династия во Вьетнаме; Нго
Императорская династия, объединившая Южный Китай в 420 г.; Сун
Императорская казна в Древнем Риме; фиск
Императорская маньчжурская династия; Цин
Императорский стиль; ампир
Империалистическая рыба; акула
Империя спорт. товаров; адидас
Империя спортивных товаров; найк
Империя, возникшая в Южном Китае в 557 г.; Чэнь
Импортное печенье, из-за которого циркачи в телерекламе попали не в свой номер; твикс
Импортный двоюродный брат; кузен
Импортный аркан; лассо
Импортный стиральный порошок; тайд
Импрессионист, кисти которого принадлежит картина “Руанский собор”; Моне
Импульс бодрости; заряд
Импульс силы равен импульсу массы – чей это закон?; Ньютона
Имущественное последствие развода; раздел
Имущественный наем, срочное и возмездное пользование имуществом; аренда
Имущественный наем; аренда
Имущество, достаток, обилие (В. Даль); естье
Имущество, нажитое; житье
Имущество, поступающее акционерному обществу в уплату за акции; апорты
Имущество, захваченное у противника; трофей
Имущество; опись
Имя (греч. скала, камень); крестьянин в драме “И свет во тьме светит”; Петр
Имя (греч. скала, камень); Петр
Имя (слав. богиня любви и домаш. очага); Лада
Имя – символ неверия; Фома
Имя – синоним неверия?; Фома
Имя Aдaм, пoльcкий пиcaтeль, пoэт; Мицкевич
Имя aктepa Kpaмapoвa; Савелий
Имя aмepикaнcкoй кинoaктpиcы Мoнpo; Мэрилин
Имя aнглийcкoгo пиcaтeля Шoy; Бернард
Имя coбaки из paccкaзa A. H. Toлcтoгo; Шарлота
Имя coлиcтa гpyппы “Дюpaн – Дюpaн”; Саймон
Имя Coфия в пepeвoдe; мудрость
Имя cyпpyги Haпoлeoнa, oбoжaвшeй фиaлки; Жозефина
Имя Haпoлeoнa; Бонапарт
Имя Pyзвeльтa; Франклин
Имя Агата, английская писательница, мастер детектива; Кристи
Имя Агния, современная поэтесса; Барто
Имя Алана Фрида, диск-жокея из Кливленда, мало кому известно, но это именно он дал название популярному направлению в музыке. Что это за направление?; рок-н-ролл
Имя Арлазорова; Ян
Имя Арнольд, швейцарский драматург; Отт
Имя Ахеджаковой, сыгравшей роль Малеевой в комедии “Гараж”; Лия
Имя Ахматовой; Анна
Имя Балаганова из “Золотого теленка”; Шура
Имя Бальзака; Оноре
Имя Бельды; Кола
Имя Бисмарка, Лилиенталя; Отто
Имя Бога; Яхве
Имя Бунина; Иван
Имя Верещагина из фильма “Белое солнце пустыни”; Павел
Имя Веронезе; Паоло
Имя Во – английского писателя, сатирика-моралиста; Ивлин
Имя Всеволод, популярный актер; Санаев
Имя Гaнc, дaтcкий пиcaтeль-cкaзoчник; Андерсен
Имя Ганди, президента Индии; Индира
Имя Гарсиа, испанский писатель, поэт; Лорка
Имя Геракла при рождении; Алкид
Имя Герберт, английский писатель, “Человек-невидимка”; Уэллс
Имя Горбатого из банды “Черной кошки”; Карп
Имя Грооупа; Яким
Имя Деги; Эдгар
Имя Джона, суперзвезды амер. эстрады; Элтон
Имя Жана Батиста Шамри стало известно с XIII века благодаря одному его изобретению, которое сейчас становится все более актуальным. Что это?; батист
Имя Жорж, автор романа “Орас”; Санд
Имя Жюль, французский писатель-фантаст; Верн
Имя Илюмжинова; Кирсан
Имя Иосиф, пел дуэтом с Лещенко (впервые) на прощальном матче Блохина; Кобзон
Имя Кавалеровича; Ежи
Имя Карл, немецкий философ; Маркс
Имя Касторского из сериала о “Неуловимых”; Буба
Имя Кирова, но не Сергея Мироновича; Бисер
Имя Котельникова, изобретателя ранцевого парашюта; Глеб
Имя Корчагина из романа Н. Островского “Как закалялась сталь”; Павка
Имя Мaлeвичa, ocнoвaтeля движeния cyпpeмaтизм в живoпиcи в нaчaлe 20 в.; Казимир
Имя Магомаева; Муслим
Имя Маккавея, поднявшего восстание против сирийской династии Селевкидов; Иуда
Имя Маккартни, Ньюмена; Пол
Имя Мандельштама; Осип
Имя Мария, молдавская певица; Биешу
Имя Мисербеева, чеченского кунака Л. Толстого?; Садо
Имя Монтана; Ив
Имя Нагульнова (литерат.); Макар
Имя Намина; Стас
Имя Неедлы; Вит
Имя Неруды, Пикассо; Пабло
Имя Одиссея у римлян; Улисс
Имя Окуджавы; Булат
Имя Олесь, украинский писатель, автор романа “Таврия”; Гончар
Имя Омар, персидский писатель, поэт; Хайям
Имя Павлиашвили; Сосо
Имя Плисецкой, Кристалинской; Майя
Имя Примадонны; Алла
Имя Рекъ – “назвавши имя”, употреблялось в старину в документах и молитвах там, где должно быть проставлено собственное имя; имярек
Имя Рабиндранат, индийский писатель, поэт; Тагор
Имя Родион, композитор, балеты: “Кармен-сюита”, “Конек-горбунок”; Щедрин
Имя Родион, композитор, балеты: “Чайка”, “Поэтория”, “Анна Каренина”; Щедрин
Имя Санд (литература); Жорж
Имя Семен, артист театра и кино; Фарада
Имя Софи, итальянская суперзвезда кино; Лорен
Имя Стивен, американский актер, мастер рукопашного боя; Сигал
Имя Табей – первой женщины, покорившей Эверест; Юнко
Имя Тамерлана, среднеазиатский полководец; Тимур
Имя Тернера, вождя восстания чернокожих рабов в Вирджинии в 1831 году; Нат
Имя Трумэна; Гарри
Имя Тынис, эстонский эстрадный певец; Мяги
Имя Уильям, aнглийcкий пиcaтeль; Шекспир
Имя Фенимор, американский писатель; Купер
Имя Фучика; Юлиус
Имя Хайяма; Омар
Имя Чейза; Джеймс
Имя Черниковой, Удовиченко; Лариса
Имя Чингиcxaнa; Темучин
Имя Шарль, франц. писатель-сказочник, автор сказок “Золушка”, “Красная шапочка”; Перро
Имя Шифрина; Ефим
Имя Шрейнера; Олив
Имя Эдгар, импрессионист; Дега
Имя Эмиль, французский писатель; Золя
Имя Эраст, советский актер; Гарин
Имя Этель, английская писательница, “Овод”; Войнич
Имя Юлиус, чешский писатель, поэт; Фучик
Имя Юрий, популярный эстрадный певец и композитор “Снегири”, “Зеркало”; Антонов
Имя авиаконструктора и промышленника Сикорского; Игорь
Имя автора “Истории лангобардов”, жившего при дворе Карла Великого; Павел
Имя автора книги для детей “Кондуит и Швамбрания”; Лев
Имя агента 007; Джеймс
Имя актера Делона; Ален
Имя актера Копеляна; Ефим
Имя актера Юрского, экономиста Глазьева и писателя Довлатова; Сергей
Имя актера, сыгравшего доктора Живаго; Омар
Имя актрис Демидовой и Ларионовой; Алла
Имя актрисы Саввиной; Ия
Имя актрисы, изобразившей модерновую секретаршу в фильме “Служебный роман”; Лия
Имя актрисы, сыгравшей Любку Шевцову, Жанну Д’Арк; Инна
Имя актрисы, сыгравшей в фильме “Рокко и его братья”; Анни
Имя амер. трубача и певца Армстронга; Луи
Имя американского актера Уиллиса; Брюс
Имя американского коллеги нашего Деда Мороза; Санта
Имя американского писателя Твена; Марк
Имя американского фантаста, поведавшего о вине из одуванчиков; Рэй
Имя американской актрисы Андерсон; Памела
Имя ангела, посланного Богом Товию под именем Азария (библ.); Рафаил
Имя англ. писателя Уайльда; Оскар
Имя английского детского писателя Милна, создателя Винни-Пуха; Алан
Имя английского писателя Шекспира; Уильям
Имя английского режиссера, автора фильма “Чужой”; Ридли
Имя английского режиссера, начинавшего с рекламы, автор фильма “Тельма и Луиза”; Ридли
Имя английской писательницы Бен, занимавшейся попутно шпионской деятельностью; Афра
Имя английской писательницы Кристи; Агата
Имя английской писательницы, мастера детектива, создавшей образ Эркюля Пуаро; Агата
Имя арапа Петра Великого; Абрам
Имя армянск. советск. поэта, в честь котор. назван г. Чаренцаван; Егише
Имя артиста Быкова; Ролан
Имя благочестивой героини Маргариты Тереховой; Марта
Имя богатого литератора-дилетанта, жившего в Древнем Риме во времена императора Августа, стало в наши дни нарицательным. Как его звали?; Меценат
Имя богини, супруги Зевса?; Гера
Имя гepoя Heвcкoй Битвы, пpeдкa A. C. Пyшкинa; Гаврила
Имя героини Марины Влади в фильме “Колдунья”; Инга
Имя героини О. Браун в сериале “Полиция Майами”; Труди
Имя героини романа Ж. Сименона “Порт туманов”; Жюли
Имя героини романа Л. Н. Толстого; Анна
Имя героя Хоггарда; Алан
Имя героя англ. народных баллад; Робин
Имя героя в др.-гр. эпосе, который обезглавил Горгону Медузу?; Персей
Имя героя детективных романов Р. Стаута; Ниро
Имя героя книги В. Г. Арсеньева; Дерсу
Имя героя повести Н. В. Гоголя; Тарас
Имя героя романа “Двенадцать стульев”; Остап
Имя героя романа Э. Л. Войнич; Артур
Имя главного действующего лица пьесы М. Горького; Егор
Имя главной героини повести “Барышня-крестьянка”; Лиза
Имя главы семейства Амати; Андреа
Имя гнома, предводителя отряда, в книге Р. Толкиена “Хоббит”; Торин
Имя гонконгского режиссера, к/фильмы “Ледяной шторм”; Анг
Имя грузина, которого допрашивал “тупой доцент” из репертуара А. Райкина; Авас
Имя дворецкого в детективном романе Р. Чандлера “Вечный сон”; Норрис
Имя девочки из повести-сказки А. Волкова “Волшебник изумрудного города”; Элли
Имя девушки и сибирской реки; Лена
Имя деда Рады Никитичны Аджубей; Сергей
Имя диpижaблecтpoитeля Hoбилe; Умберто
Имя доисламского арабского поэта-воина (к. 6 – н. 7 вв.); Хатам
Имя домашнего животного; кличка
Имя дочери Ярослава Мудрого, жены французского короля Генриха I; Анна
Имя древнеримского и древнееврейского историка Флавия; Иосиф
Имя дядьки поэта, который внес его в дом после дуэли; Никита
Имя единственной дочери королевы Великобритании Елизаветы II; Анна
Имя жены Блохина; Ирина
Имя жены Ельцина; Наина
Имя жены Людовика XIII; Анна
Имя жены президента США, посетившей вместе с ним Россию; Нэнси
Имя живописца Гольбейна младшего; Ханс
Имя звезды Голливуда в “Приведении”; Вупи
Имя знаменитого Берта Мария Бендер-бея, папа которого был турецкий подданый; Остап
Имя знаменитого английского сыщика?; Шерлок
Имя знаменитой теннисистки Граф; Штеффи
Имя и отчество Коробочки из “Мертвых душ”?; Настасья Петровна
Имя известного в нашей истории английского дипломата совпадало с именем и фамилией известного в европейской истории шотландского короля. Назовите фамилию дипломата; Локкарт
Имя известного советского политического деятеля; Анастас
Имя известного современного итальянского композитора; Тото
Имя известного сыщика Пинкертона; Нат
Имя известного французского просветителя; Дени
Имя императора Октавиана; Август
Имя инспектора из романа Ж. Сименона “Тюрьма”; Нобль
Имя исполнителя роли Майкла Корлеоне в “Крестном отце”; Аль
Имя итальянского певца Кутуньо; Тото
Имя итальянского продюссера “Кинг-конг”, “Авария”; Дино
Имя камня, который называют квасцовым, происходящее от французского слова, также означающего “квасцы”.; алунит
Имя киноактрисы Чуриковой; Инна
Имя кинорежиссера Шахназарова; Карен
Имя (не фамилия) кинорежиссера, поставившего фильм “Айболит-66”; Ролан
Имя классика английской живописи Гейнсборо?; Томас
Имя композитора Вагнера; Рихард
Имя композитора Кальмана; Имре
Имя композитора Маршнера; Генрих
Имя композитора Фельцмана; Оскар
Имя композитора Френкеля, автора песни “Русское поле”; Ян
Имя космонавта, летавшего на корабле “Восток 3”; Андриан
Имя красноармейца Сухова из фильма “Белое солнце пустыни”; Федор
Имя культового американского режиссера “Прирожденные убийцы”, “Уоллстрит”; Оливер
Имя легендарного “вечного жида”, который был осужден на вечные скитания; Агасфер
Имя литoвcкoгo князя, бeзycпeшнo штypмoвaвшeгo cтeны Kpeмля; Ольгерд
