Какое слово означает танец?; Степ
Вообще-то это служитель, хотя можно подумать, что едок. Кто?; жрец
Вооруженные силы государства?; армия
Воровской симпозиум по обмену опытом?; сходка
Ворота (устаревшее)?; врата
Ворсовая или безворсовая шерсть или хлопчатобумажная ткань, на лицевой поверхности которой имеется войлокообразный застил, скрывающий рисунок переплетения ткани. Из ... шьют пальто, костюмы и др. одежду?; сукно
Воспаление верхних дыхательных путей?; бронхит
Воспаление молочной железы?; мастит
Воспаление седалищного нерва?; ишиас
Воспаление слизистой оболочки зева, миндалин?; ангина
Воспаление слизистой сумки, бурсы?; бурсит
Воспаление слизистой оболочки, иногда и костных стенок верхнечелюстной пазухи носа?; гайморит
Воспаленное место на коже?; язва
Воспалительное заболевание печени, связанное с инфекцией или отравлением?; гепатит
Воспитал Ихтиандра доктор ... ?; Сальватор
Воспитание детей в этом городе-государстве было столь суровым, что стало нарицательным. Что за город?; Спарта
Воспитанник военно-учебного заведения?; кадет
Восстал он против мнений света один, как прежде, и – ... а) убит б) ранен в) пропал без вести г) умер своей смертью?; а
Восстание Спартака было: а) в 73 г. до н. э. б) в 73 г. нашей эры в) в 1973 г. г) пока еще не было?; а
Восстановление организмом поврежденных или утраченных органов и тканей?; регенерация
Восток Франции, в Альпах, административный центр департамента Верхняя Савойя (город в Европе)?; Аннеси
Восторженное состояние?; экзальтация
Восточная мудрость гласит: “Прежде, чем дeрнуть кота за хвост, узнайте, какие у него ...”?; зубы
Восточная страна, которая никогда не была ничьей колонией?; Таиланд
Восточные карты для гадания?; таро
Восточный ветер?; ост
Восточный мужской головной убор?; чалма
Восточный платан: деревья и кустарники?; чинара
Восход солнца из-за горизонта?; рассвет
Восьмая ступень гаммы?; октава
Вот дантист-надомник Рудик. У него приемник ... Он его ночами крутит, ловит, контра, ФРГ (Владимир Высоцкий)?; грюндиг
Вперед с носа судна?; бушприт
Враг Маугли?; Шерхан
Враг, пришедший за златом?; ворог
Врач, проходящий курс специализации под руководством зав. отделением больницы?; ординатор
Врачебный метод осмотра полости носа?; риноскопия
Вращающая часть машины?; ротор
Вредное насекомое?; клоп
Временная стоянка в пути?; остановка
Время отдыха, развлечения?; досуг
Время суток, находящееся в ведении Авроры?; утро
Время суток?; вечер
Время неумерших надежд?; будущее
Врожден. белые или темн. пятна на волосяном покрове лошади? (ед. ч.); отметина
“Все было тихо, и, однако, // Во сне я слышал крик, // и он Подобьем смолкнувшего знака // Еще тревожил небосклон.” – стихотворение Б. Пастернака?; Венеция
Все двенадцать месяцев?; год
Все красивое, прекрасное?; красота
Всё доступное количество, предельная норма?; лимит
Все что угодно, “тянущееся” к магниту?; железяки
Всевидящее, недремлющее ...?; око
Всего 1 кг этого продукта из бакалейного отдела гастронома поможет вам доставить на другой конец города в кузове грузовика восемь витринных стекол в целости и невредимости. Это ... ?; подсолнечное масло
Всего лишь один день пробыл он олимпийским чемпионом Сеула, лишившись звания за применение допинга. Это был ... ?; Бен Джонсон
Всем известна русская народная песня “Дубинушка”. А о дереве какой породы идет речь в ее припеве?; береза
Всем известное произведение Жюля Верна “20000 лье под водой” долгое время в русских переводах называлось “... километров под водой”?; 80000
Всем известный помощник Шерлока Холмса – Dr. Watson. Его имя (Рус. буквами)?; Джон
Вскипевшая вода?; кипяток
Вскрытие трупа (мед.)?; аутопсия
“Вспомним, как прозрачный месяц плывет над ночной прохладой. Лишь о том, что все пройдет, вспоминать не надо” – чей голос?; Боярский
Вспомогательное утверждение, необходимое для доказательства теоремы?; лемма
Вспомогательный гимнастический снаряд для опорных прыжков?; плинт
Вставить пропущенное слово в строку известной песни: “Я на ... ехал плача, А возвращаюсь веселясь”?; вачу
Вставьте пропущенные слова в поговорку: “Сделал дело – ...”?; гуляй смело
Вставьте пропущенные слова в поговорку: “Чем бы дитя не тешилось, лишь бы не ...”?; плакало
Вся в дырках кухонная утварь?; дуршлаг
Всякий слышит лишь то, что ... ?; понимает
Вторая производная пути по времени?; ускорение
Вторая фамилия В. Терешковой?; Николаева
Вторая фамилия Черчилля звучала так – ... ?; Мальборо
Вторая часть фамилии живописца, выведшего невиданную породу красных коней?; Водкин
Вторая буква греческого алфавита?; бета
Второе блюдо (мясное)?; рагу
Второй из трех периодов мезозойской эры. Может оттуда пошла фамилия известного советского артиста, одна из ролей которого – Викниксор?; Юрский
Второй по величине на Земле вид китов?; финвал
Вулкан в Италии?; Везувий
Вулкан на Аляске?; Катмай
Вулканическая масса; лава
Вчувствование, непосредственный эмоциональный отклик на чужое переживание?; эмпатия
Въезд, переселение людей в государство на длительное или постоянное жительство из других стран?; иммиграция
Вы помните Леля из оперы “Снегурочка”? А какое второе имя сейчас имеет Лель?; Катя
“Вы слышите, грохочут сапоги, и птицы ошалелые летят, и женщины глядят из-под руки?”. Автор?; Окуджава
“Вы хотите быть игрушечной, // Но испорчен ваш завод, // К вам никто на выстрел пушечный // Без стихов не подойдет”. Автор?; Мандельштам
(др.-сканд.) Выбирающая мертвых?; Валькирия
Вывод, результат?; итог
Выговор, воспроизведение звуков речи?; произношение
Выгода, материальная польза?; корысть
Выдающегося русского поэта Тютчева звали ... ?; Федор
Выдающийся актер, писатель, режиссер, композитор, создавший фильмы: “Король Нью-Йорка”, “Графиня из Гонконга”, “Парижанка”?; Чаплин
Выдающийся в данной области деятель?; корифей
Выдающийся немецкий физик Гельмгольц обьяснил поведение морских волн, изучал лейденскую банку и ... (не помню, но еще что-то изобрел) и одним из первых заглянул на дно. Какое?; глазное
Выдающийся русский физиолог (1829–1905), автор книги “Рефлексы головного мозга”?; Сеченов
Выделение звука в музыкальном исполнении?; акцент
Выделение, ударение, усиление?; акцент
Выделенная доля, часть, норма чего-либо?; квота
Вызванное чем-нибудь состояние досады, недовольства?; раздражение
Выкормыш капиталийской волчицы?; Ромул
Вылитая из стекла река в гоголевских творениях?; Днепр
Вымерший вид человека. Жил в среднем плейстоцене около 500 000 лет назад. Обнаружены изготовленные ими ручные рубила, получены доказательства знакомства с огнем. Также называется “Обезьяночеловек”?; питекантроп
Вымерший морской головоногий моллюск?; белемнит
Выметывание икры и молок?; нерест
Выполнившие нормы ГТО в советское время награждались ... ?; значком
Выпуск обращения бумажных денег и ценных бумаг?; эмиссия
Выражение “Избушка на курьих ножках” появилось из-за того, что дом строился на пнях с ... ?; обрубленными корнями
Выражение “как зюзя пьяный” можно было услышать еще в начале XIX века. Что подразумевали под словом “зюзя”?; свинья
Выражение, требующее разгадки?; загадка
Вырез у шеи на женском платье (на груди, иногда и на спине)?; декольте
Высадка войска?; десант
Высказывание?; изречение
Высокие сапоги с широким раструбом?; ботфорты
Высокий глиняный сосуд с широким горлом для молока?; крынка
Высокогорный район в Центральной Азии?; Тибет
Высокочувствительный прибор для измерения слабого электрического тока?; гальванометр
Высота воды в водоеме?; горизонт
Высота звука?; тон
Высочайшая горная вершина на границе Непала и Китая (8844,43 м)?; Джомолунгма
Высочайшая горная система Северной Америки?; Кордильеры
Высочайшая горная система Южной Америки?; Анды
Высочайший в мире водопад (1054 метра) находится в ... ?; Венесуэле
Выставление своей кандидатуры?; баллотировка
Выступ здания, перекрытый сомкнутым полусводом?; апсида
Выступающая панель с приборами, органами управления?; консоль
Высшая точка или стадия чего-либо?; зенит
Высшее выборное должностное лицо в древнем Риме?; консул
Высший чиновник или выборное лицо, управляющее регионом?; губернатор
Выучивший наизусть все слова “Без пролития крови” саудовский преступник вдвое снижает срок своего заключения. Сколько же там слов?; 80000
Выход из игры?; пас
Выход одного или нескольких исполнителей в балете?; антре
Выхождение под кожу части какого-нибудь внутреннего органа?; грыжа
Вьющееся или лазящее цепкое растение?; лиана
Вьющееся тропическое растение?; лиана
Вьющееся южное растение?; виноград
Вязкая зажигательная и огнеметная смесь?; напалм
Гoсудaрcтвo в Евpопe?; Ирландия
Гoсударcтво в Евpопе; Болгария
“Габарит” известного сказочного мальчика, вполне годящегося в женихи Дюймовочке.; пальчик
Гавоты – бедные крестьяне юга Прованса, после окончания сельской страды подрабатывали преподаванием французского языка и ... ?; латыни
Газета, награждавшая Блохина за результативность?; труд
Газетно-журнальный жанр?; обозрение
Галантный, обходительный мужчина, ухажёр?; кавалер
Галстук-насекомое?; бабочка
Гаргантюа и ... ?; Пантагрюэль
Гарпун для приготовленной добычи?; вилка
Гаттерия?; таутара
Где Адольф Гитлер написал свою книгу – “Моя Борьба”? “в ...”; тюрьме
Где в античные времена находился город Кносс?; Крит
Где вручается премия “Золотая пальмовая ветвь”?; Канны
Где должен по традиции находиться строитель моста, когда идут его испытания?; под мостом
Где завистнику подходяще держать камень?; за пазухой
Где министры российского правительства хранили бюджеты ведомств? “в ...”; банке
Где находились Висячие сады?; Вавилон
Где находится море Гумбольдта?; Луна
Где находится Музей молока, основанный в 80-х годах прошлого столетия?; Каунас
Где находятся Черные Леса (B ...)?; Германии
Где произошло восстание Спартака? “В ...”; Риме
Где происходят действия романа “Отверженные” Виктора Гюго?; Париж
Где разворачиваются события романа А. Толстого “Аэлита”?; на Марсе
Где разговор нередко начинается словами: “Все, что вы скажете, может быть использовано против вас”?; криминалистика
Где томятся титаны, свергнутые богами-олимпийцами? “в ...”; Тартаре
Где хранила рацию радистка Кэт? “в ...”; чемодане
Где располагается резиденция английских королей?; Вестминстер
Где у вас тут водкой торгуют? – спросили поляки. “Пошли, ребята, покажу” – ответил .?; Сусанин
Геката это богиня ... ?; колдовства
Генерал от инфантерии, герой Отечественной войны 1812 г.?; Дохтуров
Генерал, герой русско-турецкой войны 1877–78 гг.?; Скобелев
Генератор переменного тока?; магнето
Генри Луис Менкен говорил: “Трудно поверить, что человек говорит тебе правду, если знаешь, что ты сам на его месте бы ...”?; солгал
Генрих Гейне говорил, что “ангелы называют это небесной отрадой, а черти – адской мукой”. О чем речь?; любовь
Геометрическая фигура?; треугольник
Геометрическое тело?; пирамида
Георг Рихман, друг Ломоносова, был найден убитым в своей лаборатории. Орудия убийства полиция так и не нашла, поскольку во время опыта по изучению атмосферного электричества Рихман был убит ... ?; молнией
Геохронологическая эра, начавшаяся приблиз. 2600 млн. лет назад после архея и длившаяся свыше 2 млрд. лет?; протерозой
Геохронологическая эра, начавшаяся приблиз. 570 млн. лет назад после протерозоя и длившаяся 340 млн. лет?; палеозой
Герб какого европ. государства украшает изображение монаха?; Монако
Германия (город в Европе)?; Эссен
Германская военная разведка и контразведка в 1919–44 гг.?; абвер
Германский титул, чин?; курфюрст
Германское осадное оружие “одна рука”?; эйнарм
Герои Советского Союза с 1934 года получали от государства ... ?; золотую звезду
Героиня драмы А. Островского “Гроза”?; Груша
Героиня комедии Шекспира “Укрощение строптивой”?; строптивая
Героиня Лермонтова “Герой нашего времени”?; Вера
Героиня одноименной песни Челентано, которой он признается в любви?; Сюзанна
Героиня оперетты Ю. Милютина?; Чанита
Героический эпос калмыцкого народа?; джангар
Герой “Илиады”?; Ахилл
Герой “Легенды о Великом Инквизиторе” был также и героем произведения ... ?; братьев Стругацких
Герой ВОВ, генерал армии, нач. оперативного управления Генштаба?; Штеменко
Герой Гражд. войны?; Киквидзе
Герой детских мультфильмов?; Чебурашка
Герой Льва Кассиля Оська кричит: “Мама! А в конторе тоже есть вундеркинд: на нем стукают и печатают”. Он перепутал “вундеркинд” и ... ?; ундервуд
Герой одного из самых известных романов Г. Уэллса?; невидимка
Герой одноименной пьесы А. Чехова?; Иванов
Герой романа А. Р. Беляева “Человек-амфибия”?; Сальватор
Герой романа Я. Гашека?; Швейк
Герои Советского Союза (1943, посмертно); погибли при подрыве железнодорожного эшелона противника?; Игнатовы
Герой Ю. Богатырева в фильме “Свой среди чужих, чужой среди своих”?; Шилов
Герой, сыгранный этим актером, внес в наш быт фразу: “Тостуемый пьет до дна!”?; Леонов
Герцог Брабантский Ян Гримус I был почетным председателем некоей Брюсельской гильдии, а связи его с Одессой известны почти каждому. А какую гильдию возглавлял герцог?; пивоваров
Герцог Бретонский (14 век), объясняясь в любви, выразил желание вместо одного объекта любви иметь десять. В любви к кому он объяснялся?; королю
Гёте: “Когда уходят герои, на арену выходят... ”?; клоуны
Гигантская звездная система во Вселенной?; галактика
Гидрат окиси кремния – минерал?; опал
Гидромассажная ванна?; джакузи
Гидротехническое причальное сооружение, выступающее в акваторию порта и предназначенное для швартовки судов с двух сторон?; пирс
Гидротехническое сооружение, защищающее акваторию порта от волнения?; мол
Гидротехническое сооружение, связывающее дамбу с незатопляемой территорией?; траверс
Гимнастический снаряд, используемый в тяжелой атлетике?; гантель
Гипотеза о закономерности?; обобщение
Гипотеза, версия?; догадка
Гипотетическое поле, создаваемое живым организмом?; аура
Гипс и алебастр – это ... ?; сульфат кальция
Глава отдельной церковной области или самостоятельной церкви у православных?; экзарх
Главенствующее положение?; гегемония
Главная книга счетов в бухгалтерии?; гроссбух
Главная песня государства?; гимн
Главная церковь в городе?; собор
Какой актер сыграл главного героя в фильме “Мы из джаза”?; Скляр
Главный “режиссер” Театра имени В. Маяковского в 1943–1949 гг.?; Сталин
Главный город Сицилии?; Палермо
Главный исполнитель “нечисти” в советских фильмах-сказках?; Милляр
Главный труд Нестора?; повесть временных лет
Главный герой романов М. Леблана?; Люпен
Главным героем фильма “Рожденная революцией” был?; полковник Кондратьев
Глаз (устар.)?; зеница
Глаза автомобиля?; фары
Глазные “ставни”?; веки
Глашатай армянских анекдотов?; радио
Глеб Жеглов как сотрудник карательного органа?; муровец
Глубина измеряется лотом, а скорость измеряется ... ?; лагом
Глубокая вспашка?; плантаж
Глубокий красный цвет, пурпурный отблеск?; багрянец
Глубочайшая впадина на суше Гхор с глубиной 395 м от уровня Мертвого моря, которое находится на территории Израиля, Иордании и ... ?; Сирии
Глупый человек, тупица, тупой, непонятливый, безрассудный, малоумный, безумный, юродивый... И все это – ... ?; дурак
Глухой и тихий звук от трения, легкого соприкосновения с чем-нибудь?; шорох
Глухонемая фраза?; мысль
Глушь, захолустье?; дыра
Гнойное воспаление потовых желез?; гидраденит
Говорим – “Изольда”, подразумеваем ... ?; Тристан
Говорить о смерти со знанием дела могут только ... ?; покойники
Говорят, они есть и у стен?; уши
Говорят, что именно эту стрижку изобрела для своих пуделей Мария-Антуанетта, глядя на вычурную моду своего двора. Какую же?; подо льва
Говорят: “Жизнь надо прожить так, чтобы потом не было ... больно”?; мучительно
Говорят: “Не имей сто ... , имей сто друзей”?; рублей
Год основания крепости, ставшей со временем городом Тольятти?; 1737
Год первого массированного применения танков в сражении?; 1917
Год, когда произошло Ледовое побоище?; 1242
“Голден Леди” это?; колготки
Голландский мыслитель?; акоста
Голливудский киноактер, сыгравший роли в фильмах: “Поменявшись местами”, “Магазинчик ужасов”, “Сальвадор”, “Директ”, “Красная жара”, “К-9”, ...?; Белуши
Головной убор шотландских гвардейцев?; берет
Голос какого мальчишки в шестидесятые годы звучал в Советском Союзе не реже, чем в родной Италии?; Лоретти
Голубым гигантом в компьютерном мире называют? (ответ англ. буквами); IBM
Голубь принес на борт Ноева ковчега ... ?; ветвь масличного дерева
Гонки парусных судов?; регата
Гоночные машинки?; багги
Гонщик на спортивном судне?; скутерист
Гор как заместитель Клинтона?; вице
Горoд нa Сeвepе Италии; Милан
Гора, где Наполеон ждал депутацию города с ключами от Кремля?; Поклонная
Горилла высовывает язык, когда находится в состоянии ... ?; ярости
Горная вершина, при спуске с которой легковой автомобиль “Запорожец” может развить скорость 200 км в час (армянское радио)?; Арарат
Горная кристаллическая порода?; гнейс
Горная порода?; лабрадорит
Горная республика без железных дорог?; Афганистан
Горная система в Южной Америке?; Анды
Горная система на границе Европы и Азии?; Урал
Горная страна на Юго-Западе Сибири?; Алтай
Горное озеро в Армении?; Чадра
Город – столица Олимпийских игр 1992 г. и испанский футбольный клуб?; Барселона
Город в Азербайджане?; Пришиб
Город в Бельгии?; Ипр
Город в Великобритании, на реке Темза?; Итон
Город в Великобритании, угольный центр?; Кардифф
Город в Волгоградской обл.?; Котово
Город в Германии, с которым неразрывно связаны известные сказочные музыканты?; Бремен
Город в Грузии?; Зестафони
Город в древней Палестине?; Иерихон
Город в Индии?; Варанаси
Город в Львовской области?; Дрогобыч
Город в Молдове?; Рыбница
Город в Моск. обл.; приток Москва-реки?; Руза
Город в Московской области?; Шатура
Город в Польше на реке Неман?; Вроцлав
Город в Псковской области.; Гдов
Город в республике Коми, близ полярного круга?; Инта
Город в республике Коми.; Инта
Город в России, Курская обл.?; Льгов
Город в России, Самарская обл.?; Сызрань
Город в России, Свердловская обл.?; Кировград
Город в России?; Краснодар
Город в Сауд. Аравии?; Мекка
Город в Турции?; Адана
Город в Хорватии на берегу Адриатического моря и цвет вазовского автомобиля?; Опатия
Город во Франции – место проведения Олимпийских Игр 1900 года?; Париж
Город и порт в Польше в Вислинском заливе?; Эльблонг
Город из Золотого кольца, вернувший свое прежнее имя?; Загорск
Город на Волге, бывший Куйбышев?; Самара
Город на границе России и Монголии?; Кяхта
Город на острове Хонсю?; Никко
Город на родине солдата Швейка?; Брно
Город на Украине?; Сосновка
Город оружейников, самоваров и пряников?; Тула
Город с “двойным гражданством”: в Беларуси – крепость-герой, во Франции – порт?; Брест
Город Самарской области?; Сызрань
Город и один из главных морских портов Финляндии, у Финского залива?; Котка
Город, где находится “Летний Сад”?; Санкт-Петербург
Город, где находится Сандрагуптов столб, изготовленный в 4 веке из практически чистого железа?; Дели
Город, где появился первый в США кинотеатр?; Лос-Анджелес
Город, где проводились 19 Олимпийские игры?; Мехико
Город, где располагалась резиденция российского патриарха Максима Грека?; Владимир
Город, который носил имя дорогого Ильича без малого 7 лет?; Набережные Челны
Город, родина автора повести, героем которой был Белый Бим Черное Ухо?; Воронеж
Город, центр воеводства в Польше?; Радом
Город, в который уехал барин по предположению дворника Тихона, так и не схлопотав ему медали?; Париж
Город, на который американцы в 1945 году сбросили первую атомную бомбу?; Хиросима
Город-герой?; Мурманск
Город-курорт в Италии?; Сорренто
Город-порт в Великобритании, в Уэльсе?; Ньюпорт
Город-порт в Греции на о-ве Крит?; Гераклион
Город-порт в Китае?; Шанхай
Город-порт в США?; Чикаго
Город-порт в Швеции на о-ве Готланд?; Висбю
Город-порт в Швеции?; Кальмар
Город-порт во Франции?; Дюнкерк
Город-порт-курорт в Мексике?; Акапулько
Город-порт-курорт на Азовском побережье в России, Ростовская обл.?; Таганрог
Городской пляж на языке молодежи (сленг)?; могильник
Горы на юге Турции?; Тавр
Горючее для автомобиля тундры?; ягель
Горячекатанная проволока круглого сечения?; катанка
Горячий предмет, заменявший в старину на Руси утюг?; каравай
Горящийся и светящийся газ, огонь?; пламя
Гос. устройство, при котором соблюдаются права и свободы граждан?; демократия
Гостиница в Москве?; аэрофлот
Гостиница в центре столицы?; метрополь
Госуд. в Азии?; Таиланд
Госуд. в Африке; страна, где родился Моисей?; Египет
Госуд. в Центр. Америке?; Гватемала
Госуд. или организация, хранящая текст договора?; депозитарий
Государственная или общественная система?; диктатура
Государственное учреждение; сборник стихотворений (в средневековом Иране)?; диван
Государственный орган, осуществляющий надзор за соблюдением законов и законности?; прокуратура
Государственный правоохранительный орган?; суд
Государственный строй Испании?; монархия
Государственный флаг какой страны окрашен в следующие цвета (слева направо): синий, белый, красный?; Франция
Государственный язык Австрии?; немецкий
Государство в Азии?; Армения
Государство в Африке?; Бенин
Государство в Европе?; Андорра
Владение Великобритании в Европе; Гибралтар
Государство в Океании?; Папуа-Новая Гвинея
Государство в Северной Америке?; Гватемала
Государство в Южной Америке?; Аргентина
Государство на территории Италии и Франции?; Савойя
Государство, обладающее (в расчете на душу населения) самой большой армией в Европе?; Швейцария
Готский вождь Аларих, осадив Рим, обещал оставить римлянам ЭТО – и они безропотно заплатили огромный выкуп. Что ЭТО?; жизнь
Гражданином какой страны был изобретатель телеграфного кода Морзе?; США
Гражданский чин в дореволюционной России 2-го класса – Действительный ... ?; тайный советник
Гражданский чин в дореволюционной России 4-го класса (с 1724) – Действительный ... ?; статский советник
Гражданский чин в дореволюционной России 7-го класса (с 1745) – ... советник?; надворный
Гражданское имя Иоанна Павла второго?; Кароль Войтыла
Гранд советского и теперь уже американского хоккея?; Фетисов
Граница между освещенной и неосвещенной частями планеты?; терминатор
Граница?; кордон
Граф ... (А. С. Пушкин)?; Нулин
Граф, фаворит императрицы Анны Иоановны, герцог Курляндский?; Бирон
Грациозная подпорка (архитект.)?; кариатида
Греки звали ее “Ра”, тюрки – “Идел”, финны – “Йоки”, а мы называем ее ... ?; Волга
Грелка из гардероба?; свитер
Греческий брат Марса?; Арес
Гриб, “говорящий”, где его искать, чтобы не спутать с поганкой?; опенок
Гриб, выдающий себя розовой шляпкой?; волнушка
Гриб, растущий под березой, – подберезовик, гриб, растущий на березе, – ...?; чага
Гриб, растущий под землей?; трюфель
Грозный крик льва?; рык
Громкое вскрикивание?; гиканье
Гроссмейстер Флор – представитель советской шахматной школы 40–50-х годов. Его имя?; Сало
Грубая упаковочная ткань из мочала?; рогожа
Грудь женщины?; бюст
Груз для увеличения веса судна?; балласт
Груз. смычков. муз. инструмент?; чунири
Грузинский йогурт, важный компонент многих национальных блюд?; мацони
Грузинский поэт 12 века?; Руставели
Грузинское блюдо из фасоли, которое орехами не испортишь?; лобио
Грузинское вино №1?; цинандали
Грузоподъемная машина для перемещения грузов или людей?; подъемник
Группа “Chilli Willi & Red Hot Peppers” – пионер паб-рока появилась в ... году?; 1972
Группа германских племен, в 3 в. жили в Сев. Причерноморье?; готы
Группа милиционеров?; наряд
Группа островов в Индийском океане у мыса Гвардафуй?; Сокотра
Группа островов, расположенных близко друг от друга и имеющих обычно одно и тоже происхождение и сходное геологическое строение?; архипелаг
Группа птенцов одной курицы, утки и другой домашней птицы, держащаяся вместе?; выводок
Группа тихоокеанских островов?; Самоа
Группа, снявшаяся в клипе “Говорила мама”?; девочки
Групповая фигура пилотажа?; клин
Грызун с голосом типа лай собаки?; суслик
Грызущее млекопитающее с двумя парами резцов в верхней челюсти?; кролик
Грязевой гейзер бескультурья?; хам
Губит людей не пиво, губит людей ...?; вода
Густо заросшие тростником, осокой и ивой поймы и дельты рек?; плавни
Густой суп из рыбы или мяса с острыми приправами (русская кухня)?; солянка
Гюйс крепят всегда на ... ?; носу
Д. Баш, Д. Шардам, Писатель Колпаков, Карл Иванович Шустерлинг, Дандан и т. д. Назовите самый известный псевдоним этого человека, чья настоящая фамилия Ювачев?; Хармс
“Да здравствует” на латыни?; виват
“Да, были люди в наше время, Не то, что нынешнее племя – Богатыри – не вы!” – стихотворение М. Ю. Лермонтова?; Бородино
Давка на Ходынском поле в Москве 18 мая 1896 из-за плохой организации во время раздачи подарков по случаю коронации Николая II. Погибло 1389 человек?; ходынка
«Даже блеск ружья, даже плеск волны // Эту цепь порвать ныне не вольны... // И, тая в глазах злое торжество, // Женщина в углу слушала его». – Автор?; Гумилев
Даже внимательный человек не вспомнит и не скажет, правая или левая туфля упала с ноги Золушки, потому что тогда их не ... ?; различали
Данные, позволяющие найти кого-либо (адрес, телефон и т. п., разговорное)?; координаты
Два дня в году день и ночь имеют одинаковую длительность, каким астрономическим термином называется это явление?; равноденствие
Два знаменитых украинских живописца прошлого века, однофамильцы?; Мурашко
Два однородных предмета, вместе употребляемые и составляющие целое?; пара
Двадцатый ... – фильм Б. Бертолуччи?; век
Дважды Герой Советского Союза (1942, 1943), майор (1943)?; Бондаренко
Дважды Герой Советского Союза (1943), генерал-майор авиации (1955)?; Покрышев
